MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
445.61;518.12;471.27;436.93;472.67;2;1
453.94;535.66;486.01;431.22;537.02;2;1
474.78;558.64;503.03;454.55;550.61;2;1
459.92;543.75;487.26;435.41;535.49;2;1
460.03;543.45;497.31;454.96;535.00;2;1
463.5;540.35;487.25;435.6;570.51;2;1
436.46;515.13;469.49;414.6;460.00;2;1
471.25;562.64;506.75;419.42;540.00;2;1
444.48;529.76;489.69;429.98;525.96;2;1
435.73;524.97;471.86;413.37;484.44;2;1
459.89;521.65;492.88;441.5;528.75;2;1
458.11;531.48;477.87;442.5;548.27;2;1
447.94;528;481.67;422.39;494.59;2;1
454.24;535.57;481.03;438.31;553.91;2;1
443.91;528.97;473.61;427.3;495.33;2;1
466.2;543.23;489.32;447.38;539.95;2;1
511.32;549.41;498.83;481.53;530.00;1;1
499.21;592.12;519.45;480.08;552.86;1;1
463.03;542.8;494.7;433.46;511.30;2;1
436.2;522.09;485.79;413.97;511.11;2;1
447.14;524.38;474.86;428.9;504.40;2;1
437.94;529.32;489.11;433.04;529.55;2;1
450.52;518.81;463.66;422.43;491.67;2;1
459.05;530.9;483.17;428.26;514.57;2;1
454.86;525.25;472.23;440.14;506.38;2;1
471.09;545.59;482.46;447.24;544.00;2;1
452.89;534.2;483.88;439.5;515.16;2;1
462.91;546.69;493.34;446.39;503.45;2;1
480.82;548.39;507.73;455.65;584.89;2;1
471.46;543.73;492.46;447.78;533.98;2;1
462.87;553.61;494.35;454.73;541.54;2;1
